escuela,comuna,lon,lat,simce,costo,tipo
COMPLEJO EDUCACIONAL FELIPE HERRERA LANE,EL BOSQUE,-70.66579226,-33.56025053,201,Gratuito ,Munic.
ESCUELA BASICA JOSE MARTI,EL BOSQUE,-70.68385557,-33.54189784,247,Gratuito ,Munic.
ESCUELA BASICA VILLA SANTA ELENA,EL BOSQUE,-70.66632714,-33.56510407,222,Gratuito ,Munic.
ESCUELA CIUDAD DE LYON,EL BOSQUE,-70.65725644,-33.55662262,202,Gratuito ,Munic.
ESCUELA BASICA PAUL HARRIS,EL BOSQUE,-70.65996378,-33.56638899,224,Gratuito ,Munic.
ESCUELA NEMESIO ANTUNEZ,EL BOSQUE,-70.662102,-33.57059878,231,Gratuito ,Munic.
LICEO ELENA CAFFARENA MORICE,EL BOSQUE,-70.66668251,-33.56902214,241,Gratuito ,Munic.
ESCUELA MARCIAL MARTINEZ FERRARI,EL BOSQUE,-70.68688524,-33.56977644,231,Gratuito ,Munic.
ESCUELA BASICA BASE EL BOSQUE,EL BOSQUE,-70.6757772,-33.56301954,251,Gratuito ,Munic.
ESCUELA GENERAL ALBERTO A. BACHELET MARTINEZ,EL BOSQUE,-70.68031375,-33.56587988,236,Gratuito ,Munic.
ESCUELA BERNARDO LEIGHTON,EL BOSQUE,-70.6792736,-33.57447015,243,Gratuito ,Munic.
ESCUELA CLAUDIO ARRAU LEON,EL BOSQUE,-70.68025411,-33.57169732,224,Gratuito ,Munic.
ESCUELA ORLANDO LETELIER,EL BOSQUE,-70.68737486,-33.55175174,211,Gratuito ,Munic.
CENTRO EDUCACIONAL MATIAS COUSINO,EL BOSQUE,-70.67648755,-33.55016821,206,Gratuito ,Munic.
COLEGIO BATALLA DE LA CONCEPCION,EL BOSQUE,-70.66970163,-33.58035319,205,Gratuito ,Munic.
ESC. BAS. PDTE. SALVADOR ALLENDE G.,EL BOSQUE,-70.66490339,-33.57679259,216,Gratuito ,Munic.
ESCUELA PARTICULAR LOS LAGOS CHILE,EL BOSQUE,-70.67719786,-33.54456739,199,Gratuito ,P. Subv.
COLEGIO LOS ROBLES DE LOS LIBERTADORES,EL MONTE,-70.985,-33.6752,250,$1.000 a $10.000 ,P. Subv.
ESCUELA BAS. DIVINA PROVIDENCIA,EL MONTE,-70.98391405,-33.6793232,264,$10.001 a $25.000 ,P. Subv.
LICEO POLIV. LUIS HUMBERTO ACOSTA GAY,EL MONTE,-70.97744831,-33.67721762,230,Gratuito ,Munic.
ESCUELA REPUBLICA DEL ECUADOR,EL MONTE,-70.98906744,-33.68297348,232,Gratuito ,Munic.
ESC. BASICA  JAVIERA CARRERA VERDUGO,EL MONTE,-71.02655379,-33.69143547,248,Gratuito ,Munic.
ESCUELA REPUBLICA DE HONDURAS,EL MONTE,-71.01462001,-33.6852916,255,Gratuito ,Munic.
ESCUELA CHINIGUE EL CRISTO,EL MONTE,-71.02562915,-33.68742897,230,Gratuito ,Munic.
ESCUELA EL REMANSO,EL MONTE,-70.9931825,-33.6523656,254,Gratuito ,Munic.
INSTITUTO SAN FRANCISCO,EL MONTE,-70.9806324,-33.68014232,244,Gratuito ,P. Subv.
ESCUELA BAS. COLEGIO EMELINA URRUTIA,EL MONTE,-70.98214162,-33.6810469,267,Gratuito ,P. Subv.
ESCUELA BAS. PART. DE SANTA MARIA,EL MONTE,-70.99220915,-33.67936103,239,Gratuito ,P. Subv.
COLEGIO SAN ALBERTO,ESTACI?N CENTRAL,-70.68911737,-33.46854507,261,$1.000 a $10.000 ,P. Subv.
ESCUELA PARTICULAR AMANECER,ESTACI?N CENTRAL,-70.71975727,-33.47100945,257,$1.000 a $10.000 ,P. Subv.
ESCUELA PARTICULAR JOSE ANTONIO LECAROS,ESTACI?N CENTRAL,-70.69838409,-33.46369291,245,$1.000 a $10.000 ,P. Subv.
ESCUELA PARTICULAR CHILDRENS SCHOOL,ESTACI?N CENTRAL,-70.71409729,-33.47155681,203,$1.000 a $10.000 ,P. Subv.
ESCUELA PARTICULAR SAN JOSE SCHOOL,ESTACI?N CENTRAL,-70.7042388,-33.45497317,224,$1.000 a $10.000 ,P. Subv.
ESC.SILVIA SALAS EDWARDS,ESTACI?N CENTRAL,-70.68355215,-33.46676305,245,$10.001 a $25.000 ,P. Subv.
COLEGIO SAO PAULO,ESTACI?N CENTRAL,-70.69344875,-33.45833152,251,$10.001 a $25.000 ,P. Subv.
COLEGIO PART. ASCENSION NICOL,ESTACI?N CENTRAL,-70.69794985,-33.46846044,263,$10.001 a $25.000 ,P. Subv.
COLEGIO PIAMARTA,ESTACI?N CENTRAL,-70.72547018,-33.47150719,271,$10.001 a $25.000 ,P. Subv.
COLEGIO FRANCISCANO MARIA REINA,ESTACI?N CENTRAL,-70.68373681,-33.45628143,271,$25.001 a $50.000 ,P. Subv.
ESCUELA LICEO MADRE VICENCIA,ESTACI?N CENTRAL,-70.70914277,-33.4592614,252,$25.001 a $50.000 ,P. Subv.
COLEGIO POLIVALENTE PRINCIPE DE GALES,ESTACI?N CENTRAL,-70.6939985,-33.44898119,256,$25.001 a $50.000 ,P. Subv.
LICEO RUIZ TAGLE,ESTACI?N CENTRAL,-70.68859362,-33.45152591,296,$50.001 a $100.000 ,P. Subv.
ESCUELA PARTICULAR VILLA ESPANA,ESTACI?N CENTRAL,-70.72061928,-33.4727019,267,$50.001 a $100.000 ,P. Subv.
LICEO ESTACION CENTRAL,ESTACI?N CENTRAL,-70.6990576,-33.4546475,223,Gratuito ,Munic.
ESCUELA CARLOS CONDELL DE LA HAZA,ESTACI?N CENTRAL,-70.6996413,-33.46140311,270,Gratuito ,Munic.
ESCUELA ARNALDO FALABELLA,ESTACI?N CENTRAL,-70.69232374,-33.45857234,247,Gratuito ,Munic.
ESCUELA B?SICA ARTURO ALESSANDRI PALMA,ESTACI?N CENTRAL,-70.69765526,-33.45555951,265,Gratuito ,Munic.
ESCUELA REPUBLICA DE AUSTRIA,ESTACI?N CENTRAL,-70.69474586,-33.47522281,240,Gratuito ,Munic.
ESCUELA B?SICA HUMBERTO VALENZUELA GARC?A,ESTACI?N CENTRAL,-70.69150445,-33.47122697,234,Gratuito ,Munic.
ESCUELA BASICA UNION LATINOAMERICANA,ESTACI?N CENTRAL,-70.69113149,-33.46310671,233,Gratuito ,Munic.
CENTRO EDUC.MUNIC. DR. AMADOR NECHME R.,ESTACI?N CENTRAL,-70.720505,-33.47181972,229,Gratuito ,Munic.
ESCUELA BASICA REPUBLICA DE FRANCIA,ESTACI?N CENTRAL,-70.71086972,-33.47596617,240,Gratuito ,Munic.
ESCUELA BASICA PROF.RAMON DEL RIO,ESTACI?N CENTRAL,-70.70269083,-33.46604166,241,Gratuito ,Munic.
ESCUELA BASICA PACTO ANDINO,ESTACI?N CENTRAL,-70.70707211,-33.4628521,247,Gratuito ,Munic.
ESCUELA BASICA,ESTACI?N CENTRAL,-70.70531755,-33.4743473,216,Gratuito ,Munic.
ESCUELA BASICA JAPON,ESTACI?N CENTRAL,-70.70163832,-33.47329767,229,Gratuito ,Munic.
COLEGIO ECHAURREN,ESTACI?N CENTRAL,-70.7165197,-33.47489605,250,Gratuito ,P. Subv.
ESCUELA PARTICULAR HOLANDA,ESTACI?N CENTRAL,-70.72157742,-33.46782785,279,Gratuito ,P. Subv.
COLEGIO GREENLAND SCHOOL,ESTACI?N CENTRAL,-70.72624895,-33.45705839,296,Más de $100.000 ,P. Pag.
ESCUELA PARTICULAR MATER DOLOROSA,HUECHURABA,-70.63959322,-33.37502303,259,$1.000 a $10.000 ,P. Subv.
COLEGIO SANTA TERESA DE JESUS DE LOS ANDES,HUECHURABA,-70.63195074,-33.36350808,234,$1.000 a $10.000 ,P. Subv.
ESC. BASICA PART.PADRE ALBERTO HURTADO,HUECHURABA,-70.6276005,-33.37460372,276,$1.000 a $10.000 ,P. Subv.
ESCUELA B?SICA JOS? ABELARDO NU?EZ N? 3,HUECHURABA,-70.63979968,-33.37456938,253,$10.001 a $25.000 ,P. Subv.
BOSTON COLLEGE HUECHURABA,HUECHURABA,-70.67293252,-33.35688415,278,$50.001 a $100.000 ,P. Pag.
ESCUELA BASICA BRUNNENWEG,HUECHURABA,-70.67272856,-33.35689591,271,$50.001 a $100.000 ,P. Subv.
CENTRO EDUCACIONAL DE HUECHURABA,HUECHURABA,-70.63433781,-33.37448812,232,Gratuito ,Munic.
ESCUELA BASICA CARLOS PRATS G.,HUECHURABA,-70.6366954,-33.36836965,207,Gratuito ,Munic.
ESCUELA ADELAIDA LA FETRA,HUECHURABA,-70.63392601,-33.36683694,231,Gratuito ,Munic.
ESCUELA SANTA VICTORIA DE HUECHURABA,HUECHURABA,-70.6424124,-33.37403882,275,Gratuito ,Munic.
ESCUELA LAS CANTERAS,HUECHURABA,-70.62311845,-33.37634886,214,Gratuito ,Munic.
ESCUELA SANTIAGO DE GUAYAQUIL,HUECHURABA,-70.6432066,-33.37854651,219,Gratuito ,Munic.
ESCUELA PART. SANTA LUISA DE MARILLAC,HUECHURABA,-70.63235581,-33.35987736,223,Gratuito ,P. Subv.
CENTRO EDUCACIONAL ERNESTO YANEZ RIVERA,HUECHURABA,-70.684924,-33.35958978,238,Gratuito ,P. Subv.
COLEGIO FRANCISCO JAVIER,HUECHURABA,-70.68344532,-33.35033,309,Más de $100.000 ,Adm. Del.
COLEGIO  PUMAHUE HUECHURABA,HUECHURABA,-70.66317315,-33.357367,305,Más de $100.000 ,P. Pag.
ESCUELA BASICA MONTAHUE,HUECHURABA,-70.67292122,-33.35123882,266,Más de $100.000 ,P. Pag.
COLEGIO GEORGE WASHINGTON,INDEPENDENCIA,-70.65654581,-33.42496671,256,$1.000 a $10.000 ,P. Subv.
LICEO LAS AMERICAS MODERNAS,INDEPENDENCIA,-70.66631962,-33.40908086,218,$1.000 a $10.000 ,P. Subv.
ESCUELA PARTICULAR ISLA DE PASCUA,INDEPENDENCIA,-70.67294284,-33.40736842,235,$1.000 a $10.000 ,P. Subv.
LICEO MIGUEL RAFAEL PRADO,INDEPENDENCIA,-70.66700049,-33.4222023,283,$10.001 a $25.000 ,P. Subv.
LICEO IGNACIO CARRERA PINTO,INDEPENDENCIA,-70.65117688,-33.42484893,260,$10.001 a $25.000 ,P. Subv.
ESC. BAS. PART. TERESIANA DE SAN GABRIEL,INDEPENDENCIA,-70.65443259,-33.42525645,262,$10.001 a $25.000 ,P. Subv.
ESCUELA PARTICULAR THOMAS JEFFERSON,INDEPENDENCIA,-70.6599361,-33.40079748,265,$10.001 a $25.000 ,P. Subv.
COLEGIO PRESIDENTE ALESSANDRI,INDEPENDENCIA,-70.67691726,-33.41834407,286,$10.001 a $25.000 ,P. Subv.
ESCUELA PARTICULAR ARTURO TORO AMOR,INDEPENDENCIA,-70.67073623,-33.41735432,295,$10.001 a $25.000 ,P. Subv.
ESCUELA PARTICULAR SANTA TERESITA,INDEPENDENCIA,-70.67286229,-33.41214017,259,$10.001 a $25.000 ,P. Subv.
ESCUELA BASICA SAN NICOLAS,INDEPENDENCIA,-70.67553675,-33.41925553,221,$10.001 a $25.000 ,P. Subv.
ESC. PARTICULAR MARYLAND COLLEGE,INDEPENDENCIA,-70.6569906,-33.42064101,257,$25.001 a $50.000 ,P. Subv.
ESCUELA BASICA SAN NICOLAS,INDEPENDENCIA,-70.67553675,-33.41925553,265,$25.001 a $50.000 ,P. Subv.
COLEGIO ELENA BETTINI,INDEPENDENCIA,-70.67240222,-33.40216315,265,$25.001 a $50.000 ,P. Subv.
COLEGIO IBEROAMERICANO,INDEPENDENCIA,-70.65807541,-33.41547708,285,$50.001 a $100.000 ,P. Pag.
ESCUELA PARTICULAR JUAN PABLO I,INDEPENDENCIA,-70.66088687,-33.41233718,282,$50.001 a $100.000 ,P. Subv.
ESC.PART.ALVARO COVARRUBIAS ARLEGUI ANEX,INDEPENDENCIA,-70.65854604,-33.4028993,283,$50.001 a $100.000 ,P. Subv.
LICEO ROSA ESTER ALESANDRI RODRIGUEZ,INDEPENDENCIA,-70.66209686,-33.40924574,262,Gratuito ,Munic.
ESCUELA BASICA CORNELIA OLIVARES,INDEPENDENCIA,-70.65637298,-33.42322849,235,Gratuito ,Munic.
LICEO SAN FRANCISCO DE QUITO,INDEPENDENCIA,-70.66218833,-33.41066038,253,Gratuito ,Munic.
ESCUELA NUEVA ZELANDIA,INDEPENDENCIA,-70.67018923,-33.42248405,260,Gratuito ,Munic.
ESCUELA BASICA CAMILO MORI,INDEPENDENCIA,-70.66611443,-33.4242343,251,Gratuito ,Munic.
ESCUELA BASICA CD.ARTURO MERINO BENITEZ,INDEPENDENCIA,-70.65637504,-33.41540962,262,Gratuito ,Munic.
LICEO POLIVALENTE A80 PRESIDENTE JOSE MANUEL BALMACEDA,INDEPENDENCIA,-70.67034555,-33.41941574,248,Gratuito ,Munic.
ESCUELA LUIS GALDAMES,INDEPENDENCIA,-70.67226705,-33.40633141,258,Gratuito ,Munic.
COLEGIO JEAN JACQUES,INDEPENDENCIA,-70.66478732,-33.40147197,214,Gratuito ,P. Subv.
ESCUELA SAN JORGE,INDEPENDENCIA,-70.67699147,-33.40150599,243,Gratuito ,P. Subv.
COLEGIO PARTICULAR JUAN PABLO,INDEPENDENCIA,-70.67596233,-33.40110506,216,Gratuito ,P. Subv.
COLEGIO SANTA MARIA CERVELLON,INDEPENDENCIA,-70.65890723,-33.41058707,295,Más de $100.000 ,P. Pag.
CENTRO EDUC. PART. MARIA REINA INMACULADA,ISLA DE MAIPO,-70.89824566,-33.7569296,268,$10.001 a $25.000 ,P. Subv.
ESCUELA BASICA JOSE MARIA DE LA CRUZ,ISLA DE MAIPO,-70.90250389,-33.75411463,231,$10.001 a $25.000 ,P. Subv.
COLEGIO VILLA EL SOL,ISLA DE MAIPO,-70.898,-33.7378,276,$25.001 a $50.000 ,P. Subv.
CENTRO DE EDUCACION GENERAL BASICA,ISLA DE MAIPO,-70.90266813,-33.74943118,254,Gratuito ,Munic.
LICEO REPUBLICA DE ITALIA,ISLA DE MAIPO,-70.8600834,-33.73846587,226,Gratuito ,Munic.
ESCUELA BASICA EFRAIN MALDONADO TORRES,ISLA DE MAIPO,-70.90531634,-33.74910177,239,Gratuito ,Munic.
ESC.BASICA SAN ANTONIO DE NALTAGUA,ISLA DE MAIPO,-71.02308368,-33.73389107,234,Gratuito ,Munic.
ESCUELA BASICA FUTURO LAS MERCEDES,ISLA DE MAIPO,-70.89529337,-33.77876092,206,Gratuito ,Munic.
ESCUELA BASICA FUTURO LAS MERCEDES,ISLA DE MAIPO,-70.89529337,-33.77876092,238,Gratuito ,Munic.
ESC. ESP. PART. SAN LORENZO DE ISLA DE MAIPO,ISLA DE MAIPO,-70.92355916,-33.74619473,261,Gratuito ,P. Subv.
ESCUELA BASICA KINDERHAUS,ISLA DE MAIPO,-70.898,-33.7378,0,Más de $100.000 ,P. Pag.
ROSA MARCKMANN DE GONZALEZ,LA CISTERNA,-70.65390949,-33.5341672,266,$1.000 a $10.000 ,P. Subv.
COLEGIO POLIV. SAINT ORLAND,LA CISTERNA,-70.65124645,-33.52890008,260,$1.000 a $10.000 ,P. Subv.
ESCUELA PARTICULAR GUIA ESTUDIANTIL,LA CISTERNA,-70.65089848,-33.51795669,258,$1.000 a $10.000 ,P. Subv.
ESCUELA PARTICULAR SAN MARTIN DE PORRES,LA CISTERNA,-70.6632036,-33.54545961,257,$1.000 a $10.000 ,P. Subv.
ESCUELA BASICA N?128 SAN RAMON,LA CISTERNA,-70.64976513,-33.52857714,247,$1.000 a $10.000 ,P. Subv.
CENTRO EDUCACIONAL SANTA CLARA,LA CISTERNA,-70.65657746,-33.52104622,269,$10.001 a $25.000 ,P. Subv.
COLEGIO SANTA ISABEL DE HUNGRIA,LA CISTERNA,-70.66550661,-33.53077424,282,$10.001 a $25.000 ,P. Subv.
CHILEAN EAGLES COLLEGE N.3,LA CISTERNA,-70.65087728,-33.52420655,250,$10.001 a $25.000 ,P. Subv.
CENTRO EDUCACIONAL LINCOLN COLLEGE,LA CISTERNA,-70.6598715,-33.51594294,268,$10.001 a $25.000 ,P. Subv.
ESCUELA PARTICULAR GRACIELA L.DE IBANEZ,LA CISTERNA,-70.66778579,-33.53899512,240,$10.001 a $25.000 ,P. Subv.
COLEGIO ADVENTISTA LA CISTERNA,LA CISTERNA,-70.66827312,-33.53745548,254,$10.001 a $25.000 ,P. Subv.
ESCUELA PARTICULAR WALT DISNEY,LA CISTERNA,-70.67988388,-33.51417609,241,$10.001 a $25.000 ,P. Subv.
ESCUELA PARTICULAR LOCARNO,LA CISTERNA,-70.66046178,-33.51809938,241,$10.001 a $25.000 ,P. Subv.
ESCUELA PARTICULAR SAINT PHILLIP OF NERY,LA CISTERNA,-70.67383381,-33.53040042,244,$10.001 a $25.000 ,P. Subv.
ESCUELA PARTICULAR LOS CAPULLITOS,LA CISTERNA,-70.6552796,-33.52582516,288,$10.001 a $25.000 ,P. Subv.
COLEGIO PARTICULAR VILLA JESUS,LA CISTERNA,-70.66326935,-33.51965791,277,$10.001 a $25.000 ,P. Subv.
ESCUELA PARTICULAR SUBVENCIONADA ABET,LA CISTERNA,-70.66112411,-33.54316086,250,$10.001 a $25.000 ,P. Subv.
ESC. BAS. PATR. WILLINS HOOVER KURT,LA CISTERNA,-70.66771808,-33.52593782,275,$10.001 a $25.000 ,P. Subv.
LICEO LAURA VICUNA,LA CISTERNA,-70.66449279,-33.54023884,285,$25.001 a $50.000 ,P. Subv.
COLEGIO SANTA MARIA DE LOS ANGELES,LA CISTERNA,-70.66718569,-33.54475674,293,$25.001 a $50.000 ,P. Subv.
LICEO MADRE CECILIA LAZZERI,LA CISTERNA,-70.66714984,-33.53391748,289,$25.001 a $50.000 ,P. Subv.
ESCUELA PARTICULAR CHILDREN'S COLLEGE,LA CISTERNA,-70.66033412,-33.54465043,254,$25.001 a $50.000 ,P. Subv.
COLEGIO IDOP LIMITADA,LA CISTERNA,-70.66156451,-33.54310085,275,$25.001 a $50.000 ,P. Subv.
COLEGIO ANTIL MAWIDA,LA CISTERNA,-70.66817679,-33.54421132,265,$25.001 a $50.000 ,P. Subv.
ESCUELA BASICA ARISTA VITAE,LA CISTERNA,-70.6698454,-33.53409758,250,$25.001 a $50.000 ,P. Subv.
COLEGIO JOSE LUIS LEGRANGE DE LA CISTERNA,LA CISTERNA,-70.66436325,-33.53067237,278,$50.001 a $100.000 ,P. Subv.
LICEO PART. SALESIANO MANUEL ARRIARAN BARROS,LA CISTERNA,-70.66203041,-33.53143418,278,$50.001 a $100.000 ,P. Subv.
COLEGIO NACIONES UNIDAS,LA CISTERNA,-70.67338963,-33.52634828,226,Gratuito ,Munic.
COLEGIO PALESTINO,LA CISTERNA,-70.66604378,-33.52453549,231,Gratuito ,Munic.
LICEO POLIVALENTE OLOF PALME,LA CISTERNA,-70.65791844,-33.54504353,246,Gratuito ,Munic.
ESCUELA ESPERANZA JOVEN,LA CISTERNA,-70.66815844,-33.51859114,235,Gratuito ,Munic.
ESCUELA BAS. OSCAR ENCALADA YOVANOVICH,LA CISTERNA,-70.66008419,-33.53608658,231,Gratuito ,Munic.
LICEO PORTAL DE LA CISTERNA,LA CISTERNA,-70.65592573,-33.51566209,229,Gratuito ,Munic.
COLEGIO ANTU,LA CISTERNA,-70.67651412,-33.54039226,235,Gratuito ,Munic.
ESCUELA ESPECIAL ADAES,LA CISTERNA,-70.6632,-33.5269,227,Gratuito ,Munic.
ESCUELA PARTICULAR PABLO GOYENECHE IVER,LA CISTERNA,-70.66763389,-33.53501117,210,Gratuito ,P. Subv.
ESCUELA PART. REPUBLICA ALEMANIA FEDERAL,LA CISTERNA,-70.66642541,-33.53937416,259,Gratuito ,P. Subv.
ESCUELA B?SICA PART.171 GALVARINO,LA CISTERNA,-70.65091731,-33.53990659,251,Gratuito ,P. Subv.
ESC.ESP.TRAT.DE LA COMUNICION EDEN,LA CISTERNA,-70.65555024,-33.52471991,274,Gratuito ,P. Subv.
ESC. BASICA Y ESP.  EL NAZARENO,LA CISTERNA,-70.65261931,-33.52974751,211,Gratuito ,P. Subv.
COLEGIO PRINCESS ANNE SCHOOL,LA CISTERNA,-70.65938119,-33.52071109,289,Más de $100.000 ,P. Pag.
ESCUELA PARTICULAR UNIDAD DIVINA,LA FLORIDA,-70.6006575,-33.53757257,220,$1.000 a $10.000 ,P. Subv.
COLEGIO PARTICULAR ISLA WELLINGTON,LA FLORIDA,-70.60688936,-33.54669943,214,$1.000 a $10.000 ,P. Subv.
ESC. PART. RAFAEL SOTOMAYOR B.,LA FLORIDA,-70.58020946,-33.51638982,231,$1.000 a $10.000 ,P. Subv.
ESCUELA PARTICULAR QUILLAHUE,LA FLORIDA,-70.59363501,-33.54689782,257,$1.000 a $10.000 ,P. Subv.
ESCUELA PARTICULAR SUBV. SAN JUAN,LA FLORIDA,-70.58277001,-33.52810792,218,$1.000 a $10.000 ,P. Subv.
ESCUELA PART. INSTITUTO S.A,LA FLORIDA,-70.61008147,-33.5620159,215,$1.000 a $10.000 ,P. Subv.
COLEGIO POLIV. SAN SEBASTIAN DE LA FLORIDA,LA FLORIDA,-70.57835126,-33.55869109,252,$10.001 a $25.000 ,P. Subv.
COLEGIO SANTA CECILIA DE LA FLORIDA,LA FLORIDA,-70.60966547,-33.51402646,230,$10.001 a $25.000 ,P. Subv.
COLEGIO PORTALES,LA FLORIDA,-70.57427776,-33.56215186,242,$10.001 a $25.000 ,P. Subv.
ESCUELA PARTICULAR LOS COPIHUES,LA FLORIDA,-70.57836943,-33.56264985,262,$10.001 a $25.000 ,P. Subv.
ESCUELA PART. JOHN PAUL SCHOOL,LA FLORIDA,-70.5949142,-33.54500556,264,$10.001 a $25.000 ,P. Subv.
ESCUELA PARTICULAR LAURA ELGUETA,LA FLORIDA,-70.6040328,-33.54656513,244,$10.001 a $25.000 ,P. Subv.
ESC. PART. SAINT GERMAINE SCHOOL,LA FLORIDA,-70.59569181,-33.52813146,233,$10.001 a $25.000 ,P. Subv.
ESCUELA BASICA PARTICULAR PAICAVI  NUM 1,LA FLORIDA,-70.60136002,-33.5534716,248,$10.001 a $25.000 ,P. Subv.
CENTRO EDUCACIONAL LONDON,LA FLORIDA,-70.59444208,-33.55799786,235,$10.001 a $25.000 ,P. Subv.
ESCUELA BASICA PART.BROTHERS SCHOOL,LA FLORIDA,-70.59744567,-33.53918323,265,$10.001 a $25.000 ,P. Subv.
LICEO PARTIC.ALBERTO MAGNO LA FLORIDA,LA FLORIDA,-70.60929268,-33.55549701,257,$10.001 a $25.000 ,P. Subv.
COLEGIO SAN CARLOS DE LA FLORIDA,LA FLORIDA,-70.61128087,-33.54771551,253,$10.001 a $25.000 ,P. Subv.
COLEGIO SAN LORENZO,LA FLORIDA,-70.58393909,-33.56444547,256,$10.001 a $25.000 ,P. Subv.
COLEGIO CRISOL,LA FLORIDA,-70.58261383,-33.56502155,273,$10.001 a $25.000 ,P. Subv.
COLEGIO CRISTIANO EMMANUEL,LA FLORIDA,-70.56301923,-33.51240543,289,$10.001 a $25.000 ,P. Subv.
ESC BAS PART COLEGIO CHILLAN,LA FLORIDA,-70.58431402,-33.56315106,263,$10.001 a $25.000 ,P. Subv.
COLEGIO POLIVALENTE LOVAINA,LA FLORIDA,-70.57975077,-33.56456213,237,$10.001 a $25.000 ,P. Subv.
ESCUELA PARTICULAR PHILIPPE COUSTEAU,LA FLORIDA,-70.59122431,-33.55345802,247,$10.001 a $25.000 ,P. Subv.
COLEGIO HAYDN DE LA FLORIDA,LA FLORIDA,-70.58477646,-33.51650281,252,$10.001 a $25.000 ,P. Subv.
COLEGIO NAZARET DE LA FLORIDA,LA FLORIDA,-70.56844783,-33.56083707,274,$10.001 a $25.000 ,P. Subv.
ESCUELA BASICA PART. LAS PLEYADES,LA FLORIDA,-70.59060389,-33.53606083,254,$10.001 a $25.000 ,P. Subv.
COLEGIO SAINT CHARLES COLLEGE LA FLORIDA,LA FLORIDA,-70.59762079,-33.53465382,240,$10.001 a $25.000 ,P. Subv.
COLEGIO PADRE CHAMINADE,LA FLORIDA,-70.57687051,-33.56078415,218,$10.001 a $25.000 ,P. Subv.
COLEGIO SAN CRISTOBAL DE LAS CASAS,LA FLORIDA,-70.56672947,-33.56052516,242,$10.001 a $25.000 ,P. Subv.
COLEGIO NOVA TERRA,LA FLORIDA,-70.57475682,-33.56183914,261,$10.001 a $25.000 ,P. Subv.
ESCUELA BASICA  PEPITA,LA FLORIDA,-70.592103,-33.5126843,265,$25.001 a $50.000 ,P. Pag.
ESCUELA PARTICULAR DANES,LA FLORIDA,-70.58602425,-33.53767071,242,$25.001 a $50.000 ,P. Subv.
COLEGIO SAINT JOSEPH C. THOMAS SCHOOL,LA FLORIDA,-70.57134232,-33.54341318,249,$25.001 a $50.000 ,P. Subv.
CHILEAN EAGLES COLLEGE,LA FLORIDA,-70.59515306,-33.52635279,276,$25.001 a $50.000 ,P. Subv.
COLEGIO MAURICIO RUGENDAS,LA FLORIDA,-70.59915967,-33.52699551,270,$25.001 a $50.000 ,P. Subv.
COLEGIO ALAIN DE LA FLORIDA,LA FLORIDA,-70.59317097,-33.52630616,238,$25.001 a $50.000 ,P. Subv.
COLEGIO SANTA MARIA,LA FLORIDA,-70.60707502,-33.51192278,290,$25.001 a $50.000 ,P. Subv.
CENTRO EDUCACIONAL LA FLORIDA,LA FLORIDA,-70.58955322,-33.55337127,263,$25.001 a $50.000 ,P. Subv.
COLEGIO PARTICULAR SAN FRANCISCO DE ASIS,LA FLORIDA,-70.59104291,-33.55766284,287,$25.001 a $50.000 ,P. Subv.
COLEGIO PARTICULAR LA CONCEPCION,LA FLORIDA,-70.58303874,-33.52512846,265,$25.001 a $50.000 ,P. Subv.
ESCUELA PARTICULAR ROSARIO CONCHA,LA FLORIDA,-70.5848875,-33.51845835,267,$25.001 a $50.000 ,P. Subv.
BERNADETTE COLLEGE,LA FLORIDA,-70.59326389,-33.55014916,288,$25.001 a $50.000 ,P. Subv.
COLEGIO LE MONDE,LA FLORIDA,-70.58823325,-33.55010559,259,$25.001 a $50.000 ,P. Subv.
ESC PARTICULAR MANUEL VICUNA LARRAIN,LA FLORIDA,-70.59571299,-33.54686204,248,$25.001 a $50.000 ,P. Subv.
COLEGIO SHIRAYURI,LA FLORIDA,-70.58902758,-33.51994742,277,$25.001 a $50.000 ,P. Subv.
ESCUELA PARTICULAR SANTA ANA DE LA LUZ,LA FLORIDA,-70.57713951,-33.55187973,266,$25.001 a $50.000 ,P. Subv.
COLEGIO CRISTIANO BETHEL  N 3,LA FLORIDA,-70.60849636,-33.52066103,246,$25.001 a $50.000 ,P. Subv.
COLEGIO SAN CRISTOBAL DE LAS CASAS,LA FLORIDA,-70.56672947,-33.56052516,260,$25.001 a $50.000 ,P. Subv.
ESC. BAS. PART. ALBERT SCHWITZER LA FLORIDA,LA FLORIDA,-70.57565016,-33.56357731,213,$25.001 a $50.000 ,P. Subv.
SANTA MARIA DEL PILAR DE LA FLORIDA,LA FLORIDA,-70.5878194,-33.56633466,276,$25.001 a $50.000 ,P. Subv.
COLEGIO NOBEL,LA FLORIDA,-70.58554999,-33.55533448,279,$25.001 a $50.000 ,P. Subv.
WASHINGTON CENTER LA FLORIDA,LA FLORIDA,-70.5973004,-33.52425993,252,$25.001 a $50.000 ,P. Subv.
COLEGIO SANTIAGO,LA FLORIDA,-70.59773891,-33.55043417,287,$25.001 a $50.000 ,P. Subv.
COLEGIO PART. FAMILIA DE NAZARETH,LA FLORIDA,-70.60048584,-33.54695373,270,$25.001 a $50.000 ,P. Subv.
COLEGIO PART. BOSTON COLLEGE LA FLORIDA,LA FLORIDA,-70.56900516,-33.54400195,274,$25.001 a $50.000 ,P. Subv.
